"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"表格行内删除 {""message"": ""无权限操作，请联系管理员""}","5515","表格行内删除 {""message"": ""无权限操作，请联系管理员""}","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增环境：不能有特殊字符","601","新增环境：不能有特殊字符","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"已有账号？点这登录 链接访问","254","已有账号？点这登录 链接访问","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"新增项目：服务器异常状态码500","546","新增项目：服务器异常状态码500","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"登录正常流程， 获取异步ajax 请求","5792","登录正常流程， 获取异步ajax 请求","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","30019","
测试流程：
step--A账号登录，创建项目xxx
step--B账号登录，删除项目xxx
:return:
","cases.more_accounts","2026-08-29","broken","2026-08-29","TestMoreAccounts","test_x","",""
"新增环境：环境新增成功","839","新增环境：环境新增成功","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"项目名称重复，弹出模态框","334","项目名称重复，弹出模态框","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"添加模块-模块名称重复","125","添加模块-模块名称重复","cases","2026-08-29","passed","2026-08-29","TestAddModule","test_add_module","",""
"新增环境：不能有特殊字符","618","新增环境：不能有特殊字符","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"测试注册正常流程，已被注册过的账号","905","测试注册正常流程，已被注册过的账号","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"项目列表搜索功能，点搜索按钮查询请求","66","项目列表搜索功能，点搜索按钮查询请求","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"项目列表刷新功能，点刷新按钮查询请求","43","项目列表刷新功能，点刷新按钮查询请求","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"异常场景-项目名称不能为空","112","异常场景-项目名称不能为空","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"提交成功，判断新项目名称在列表","1056","提交成功，判断新项目名称在列表","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
